item,question_text,correct_answer
Q4_1,Knowledge item 1: which statement is correct?,D
Q4_2,Knowledge item 2: which statement is correct?,C
Q4_3,Knowledge item 3: which statement is correct?,D
Q4_4,Knowledge item 4: which statement is correct?,D
Q4_5,Knowledge item 5: which statement is correct?,B
Q4_6,Knowledge item 6: which statement is correct?,A
Q4_7,Knowledge item 7: which statement is correct?,B
Q4_8,Knowledge item 8: which statement is correct?,C
Q4_9,Knowledge item 9: which statement is correct?,B
Q4_10,Knowledge item 10: which statement is correct?,B
Q4_11,Knowledge item 11: which statement is correct?,C
Q4_12,Knowledge item 12: which statement is correct?,B
Q4_13,Knowledge item 13: which statement is correct?,A
Q4_14,Knowledge item 14: which statement is correct?,B
Q4_15,Knowledge item 15: which statement is correct?,C
Q4_16,Knowledge item 16: which statement is correct?,C
Q4_17,Knowledge item 17: which statement is correct?,B
Q4_18,Knowledge item 18: which statement is correct?,B
Q4_19,Knowledge item 19: which statement is correct?,B
Q4_20,Knowledge item 20: which statement is correct?,B
